"time,servertime,latitude,longitude,""HDT - Heading True"",""SOG - Speed over Ground"",""COG - Course over Ground"",Heel,""Trim Fore / Aft"",""GPS Satellites"",""GPS HAcc"",""Battery Charge"",""Battery 1 Voltage"",""Battery 1 Current"",""Battery 1 Temperature"""
"2024-06-15 12:18:16.599,""2024-06-15 12:18:16.85"",47.668237,8.984705,291.39,0.02516554,291.39,-5.12,-0.82,16,0.5796,64,3.885,-0.407,-243.1"
"2024-06-15 12:18:17.599,""2024-06-15 12:18:18.111"",47.668238,8.984705,291.39,0.02751453,291.39,-5.11,-0.83,16,0.5776,64,3.885,-0.407,-243.1"
"2024-06-15 12:18:18.599,""2024-06-15 12:18:19.325"",47.668238,8.984705,291.39,0.0161845,291.39,-5.1,-0.82,16,0.5757,64,3.885,-0.407,-243.1"
"2024-06-15 12:18:19.599,""2024-06-15 12:18:19.805"",47.668238,8.984705,291.39,0.01796932,291.39,-5.09,-0.86,16,0.5737,64,3.885,-0.407,-243.1"
"2024-06-15 12:18:20.599,""2024-06-15 12:18:20.821"",47.668238,8.984704,291.39,0.0143215,291.39,-5.09,-0.87,16,0.5728,64,3.885,-0.4048,-243.1"
"2024-06-15 12:18:21.599,""2024-06-15 12:18:21.939"",47.668238,8.984704,291.39,0.01019588,291.39,-5.1,-0.86,16,0.5708,64,3.885,-0.4019,-243.1"
"2024-06-15 12:18:22.599,""2024-06-15 12:18:22.965"",47.668238,8.984703,291.39,0.01101049,291.39,-5.13,-0.81,16,0.5718,64,3.885,-0.4019,-243.1"
"2024-06-15 12:18:23.599,""2024-06-15 12:18:23.87"",47.668238,8.984703,291.39,0.01798609,291.39,-5.14,-0.79,16,0.5698,64,3.885,-0.4058,-243.1"
"2024-06-15 12:18:24.599,""2024-06-15 12:18:25.087"",47.668238,8.984702,291.39,0.0241053,291.39,-5.12,-0.8,16,0.5659,64,3.885,-0.4038,-243.1"
"2024-06-15 12:18:25.599,""2024-06-15 12:18:25.914"",47.668238,8.984702,291.39,0.01987744,291.39,-5.08,-0.83,16,0.563,64,3.885,-0.4009,-243.1"
"2024-06-15 12:18:26.599,""2024-06-15 12:18:27.148"",47.668238,8.984701,291.39,0.02161934,291.39,-5.06,-0.82,16,0.5605,64,3.885,-0.3999,-243.1"
"2024-06-15 12:18:27.599,""2024-06-15 12:18:27.834"",47.668238,8.984700,291.39,0.01863716,291.39,-5.11,-0.85,16,0.5576,64,3.885,-0.4028,-243.1"
"2024-06-15 12:18:28.599,""2024-06-15 12:18:28.961"",47.668238,8.984700,291.39,0.01787065,291.39,-5.1,-0.87,16,0.5547,64,3.885,-0.4158,-243.1"
"2024-06-15 12:18:29.599,""2024-06-15 12:18:30.156"",47.668238,8.984700,291.39,0.009522724,291.39,-5.05,-0.88,16,0.5527,64,3.885,-0.4219,-243.1"
"2024-06-15 12:18:30.599,""2024-06-15 12:18:30.886"",47.668238,8.984699,291.39,0.01608828,291.39,-5.06,-0.88,16,0.5508,64,3.885,-0.4189,-243.1"
"2024-06-15 12:18:31.599,""2024-06-15 12:18:32.078"",47.668238,8.984699,291.39,0.03855773,291.39,-5.03,-0.88,16,0.5488,64,3.885,-0.4189,-243.1"
"2024-06-15 12:18:32.599,""2024-06-15 12:18:33.096"",47.668238,8.984698,291.39,0.0395651,291.39,-5.05,-0.86,16,0.5459,64,3.885,-0.4158,-243.1"
"2024-06-15 12:18:33.599,""2024-06-15 12:18:33.832"",47.668238,8.984698,291.4,0.02376791,291.4,-5.05,-0.87,16,0.5439,64,3.885,-0.4158,-243.1"
"2024-06-15 12:18:34.599,""2024-06-15 12:18:34.982"",47.668238,8.984698,291.4,0.02255716,291.4,-5.05,-0.87,16,0.542,64,3.885,-0.418,-243.1"
"2024-06-15 12:18:35.599,""2024-06-15 12:18:36.099"",47.668239,8.984697,291.4,0.01387081,291.4,-5.06,-0.83,16,0.5405,64,3.883,-0.417,-243.1"
"2024-06-15 12:18:36.599,""2024-06-15 12:18:36.869"",47.668239,8.984697,291.4,0.01609042,291.4,-5.04,-0.87,16,0.5396,64,3.883,-0.4209,-243.1"
"2024-06-15 12:18:37.599,""2024-06-15 12:18:37.8"",47.668239,8.984697,291.4,0.01920591,291.4,-5.05,-0.87,16,0.5386,64,3.883,-0.4189,-243.1"
"2024-06-15 12:18:38.599,""2024-06-15 12:18:38.805"",47.668239,8.984696,291.4,0.01992651,291.4,-5.02,-0.87,16,0.5376,64,3.883,-0.417,-243.1"
"2024-06-15 12:18:39.599,""2024-06-15 12:18:39.926"",47.668239,8.984696,291.4,0.01934455,291.4,-4.95,-0.87,16,0.5356,64,3.883,-0.418,-243.1"
